@relation sheet
@attribute in1 real
@attribute in2 real
@attribute in3 real
@attribute in4 real
@attribute in5 real
@attribute in6 real
@attribute in7 real
@attribute in8 real
@attribute in9 real
@attribute in10 real
@attribute in11 real
@attribute in12 real
@attribute class {Pass,Fail}
@data
1458,1,1,4885,606,634,2,1379,1051,0,0,0,Pass
617,1,1,6322,992,4675,2,679,725,0,2,1,Pass
377,0,1,4994,315,9521,3,1213,1870,1,2,0,Pass
453,1,1,7177,234,8788,0,1060,1278,0,1,1,Pass
1818,1,0,8250,637,5523,2,886,942,1,0,2,Pass
1465,1,0,1395,599,8474,2,1040,1693,0,1,2,Pass
1239,0,0,1546,261,9641,0,1715,131,0,2,2,Pass
103,1,0,1039,580,3597,3,515,507,0,0,1,Pass
369,0,0,472,251,6854,3,1153,1685,1,2,0,Pass
659,0,0,2971,551,6045,1,143,1345,1,0,1,Pass
221,1,0,3683,573,2056,2,1159,47,0,0,2,Pass
738,0,1,6411,634,8357,1,1761,1387,1,0,0,Pass
1522,1,1,6568,318,9800,1,1624,1949,0,0,1,Pass
1164,1,1,6286,639,5786,0,415,6,0,0,1,Pass
568,0,1,2522,833,2792,0,189,1519,1,1,0,Pass
1963,1,0,4271,650,2076,2,170,867,1,1,1,Pass
331,1,1,8247,548,6531,3,1774,1908,0,1,1,Pass
1273,1,0,8704,819,211,3,1693,450,1,2,2,Pass
1190,0,0,4472,294,4367,2,904,976,0,0,0,Pass
1751,1,1,1823,986,6737,0,1771,376,1,1,0,Pass
666,0,0,6048,905,1388,1,902,759,1,0,1,Pass
1889,0,0,884,865,3205,2,1507,779,1,1,0,Pass
1013,0,0,203,361,8805,0,636,1407,0,0,0,Pass
363,1,0,3599,103,3604,0,1278,1137,1,0,2,Pass
812,1,0,7631,476,4700,1,1109,1107,1,1,0,Pass
233,1,0,5229,216,3857,3,477,965,0,0,0,Pass
1906,1,0,5661,809,4753,0,747,1355,1,2,1,Pass
655,1,1,5362,654,325,3,1454,626,1,2,2,Pass
1647,0,1,7343,738,5515,0,894,1254,1,2,0,Pass
501,1,0,7711,979,5158,1,535,775,0,2,1,Pass
1739,1,0,970,658,3596,1,1066,673,0,2,1,Pass
502,0,0,8781,173,9970,1,569,210,0,0,1,Pass
1808,0,0,7068,528,8511,2,916,317,1,2,2,Pass
1980,0,1,4670,794,3731,1,621,773,1,1,0,Pass
380,0,1,9325,306,5067,1,44,14,0,1,2,Pass
630,0,0,2225,282,5436,3,1512,373,1,1,1,Pass
845,0,1,592,140,8033,2,1867,1751,0,2,0,Pass
1796,0,0,9117,648,3561,2,696,1478,0,2,1,Pass
740,0,1,5026,175,4744,3,1893,367,1,2,2,Pass
1286,0,1,1955,233,3106,2,583,561,0,1,1,Pass
243,1,1,9801,291,9959,1,1942,832,0,1,1,Pass
272,0,0,6064,780,1814,3,1831,1487,0,0,1,Pass
656,1,0,9317,711,4666,2,631,371,1,0,0,Pass
473,1,0,7095,410,3859,0,1571,1084,0,1,0,Pass
656,0,0,9457,995,9961,2,1337,454,0,0,2,Pass
264,1,0,6057,788,3195,2,1138,1589,0,1,1,Pass
253,0,0,8641,757,471,2,1624,263,1,1,1,Pass
1415,0,1,1087,56,9598,0,1302,1419,0,2,0,Pass
130,1,0,4355,18,7727,1,1432,1095,1,2,0,Pass
369,0,0,3677,556,4630,1,455,1502,0,0,2,Pass
1594,1,1,8513,913,9896,2,857,600,1,0,2,Pass
932,1,0,6496,754,868,2,1531,1619,1,1,1,Pass
1925,1,0,6364,253,4001,0,133,1103,1,0,0,Pass
1440,1,1,2127,451,4903,1,1233,1488,1,0,2,Pass
1987,0,1,256,888,7828,1,1887,196,1,1,0,Pass
582,0,1,4956,813,4740,2,1872,987,1,0,0,Pass
1399,1,0,8150,448,9141,0,1940,189,1,0,0,Pass
1194,0,1,7779,805,5694,0,1290,831,0,0,0,Pass
678,0,1,6572,518,8242,1,156,759,0,1,1,Pass
82,1,1,152,646,7278,3,1038,1703,0,0,2,Pass
358,1,1,8093,155,8227,3,1081,1135,1,1,0,Pass
1814,0,0,9387,889,201,0,1280,210,1,0,1,Pass
1520,1,0,5134,835,6394,3,1046,1105,0,2,2,Pass
559,1,0,5431,507,1840,1,593,478,1,1,2,Pass
1215,0,1,7837,154,9459,0,1736,320,0,0,1,Pass
792,1,0,4397,523,2362,2,188,349,1,1,0,Pass
1504,1,1,2355,50,7060,1,1294,814,0,2,0,Pass
1792,0,1,9531,474,298,2,1462,1124,0,2,0,Pass
512,1,1,5281,291,2829,2,1315,384,1,2,1,Pass
807,0,0,6602,170,5598,2,1452,983,0,0,1,Pass
1362,1,1,8453,994,1191,2,1497,524,0,0,2,Pass
237,0,0,6698,680,4589,1,983,1551,0,1,2,Pass
1702,1,1,5221,676,7639,0,1198,1883,1,1,2,Pass
470,0,1,6839,426,3927,0,1177,1285,0,0,0,Pass
1700,0,0,5905,448,3322,3,330,664,1,0,2,Pass
1578,0,1,7030,482,2215,2,1183,1893,1,2,0,Pass
704,1,0,2260,889,9433,2,1790,767,0,2,2,Pass
142,1,0,1159,394,6434,2,1632,445,0,2,2,Pass
579,1,0,4242,666,3797,1,1317,224,1,2,2,Pass
1836,0,1,9074,598,5639,0,459,1915,0,1,1,Pass
1113,0,0,8266,569,5787,1,116,1290,1,1,1,Pass
1537,0,0,1485,102,7632,0,1916,1123,0,1,2,Pass
174,0,0,6979,605,784,0,252,17,0,2,2,Pass
842,1,0,6931,202,446,3,103,1895,1,1,0,Pass
1488,0,1,1761,56,5236,1,774,984,1,0,0,Pass
791,1,0,4349,797,1376,1,89,1245,1,0,0,Pass
1905,0,1,7232,551,7281,1,772,88,0,2,2,Pass
489,1,0,5308,779,8235,1,988,1278,0,0,0,Pass
1282,1,1,2279,205,6028,0,149,1513,1,2,0,Pass
5,0,1,1691,915,4305,1,722,98,1,2,2,Pass
442,1,0,5845,724,3441,2,1856,1796,0,2,1,Pass
623,1,0,9840,542,4605,2,968,325,0,2,2,Pass
1421,0,0,9014,141,9850,2,663,312,0,0,0,Pass
1215,0,0,3850,287,1028,3,1747,341,1,0,2,Pass
486,0,0,3373,212,8392,0,1652,1666,1,2,0,Pass
1696,0,0,2147,178,5812,0,228,515,1,2,1,Pass
1471,1,1,2281,597,9174,3,1486,196,0,2,0,Pass
605,1,1,9742,709,839,3,391,1294,0,0,1,Pass
340,1,1,9683,314,187,2,179,1391,1,0,1,Pass
1843,1,1,6056,451,3999,2,1582,1436,1,2,1,Pass
740,1,0,6108,924,9527,0,893,1417,0,0,0,Pass
1170,0,1,2393,868,9770,3,585,193,1,0,1,Pass
1392,0,0,8674,853,6260,2,1344,889,1,0,2,Pass
732,1,0,3715,231,9374,2,1344,598,0,1,2,Pass
138,1,1,4043,437,3637,0,425,1894,0,0,2,Pass
1829,1,1,432,561,2413,3,1366,852,1,1,1,Pass
56,1,1,1256,874,1161,1,303,1677,1,2,1,Pass
1186,0,1,2423,699,3889,0,422,1127,0,2,1,Pass
1967,0,0,8594,223,4231,1,756,1913,0,2,1,Pass
1163,0,1,8103,200,6431,2,696,1420,1,2,2,Pass
537,0,0,4830,639,258,2,1140,1769,0,0,0,Pass
1834,0,0,4616,397,7174,1,972,1812,0,0,1,Pass
513,0,1,7947,288,6965,3,1987,1309,1,1,1,Pass
1098,1,1,9999,273,6032,1,764,16,1,0,1,Pass
306,1,0,3313,401,5302,1,1762,1642,0,0,2,Pass
1945,0,0,9065,963,5966,2,1484,915,0,2,0,Pass
684,1,1,4098,397,6550,2,89,930,1,2,0,Pass
71,1,1,206,935,2655,2,1004,1539,1,0,0,Pass
1071,0,0,587,806,6125,0,1644,669,0,0,0,Pass
725,0,0,7550,962,7704,1,899,1305,0,0,2,Pass
1630,1,0,1507,811,1265,0,857,1812,0,0,2,Pass
1191,0,0,1270,274,155,1,260,941,1,0,0,Pass
1422,0,1,5945,291,3247,1,791,82,1,1,1,Pass
612,0,0,539,896,5699,1,652,267,0,0,1,Pass
389,0,0,5881,304,751,2,1271,1026,0,1,2,Pass
977,1,1,7227,470,8212,3,864,1394,0,1,0,Pass
1645,0,0,9766,317,8547,2,1941,1091,0,0,0,Pass
1754,1,1,1602,393,6879,2,1202,928,0,2,0,Pass
335,1,1,5791,81,3143,0,518,1671,1,2,0,Pass
1641,0,1,9569,720,1178,3,1259,103,0,0,1,Pass
344,0,1,1693,355,481,2,1418,896,0,2,2,Pass
1502,1,0,7687,956,4715,1,1777,1724,0,1,0,Pass
472,1,1,7602,52,8272,1,1914,627,0,2,2,Pass
246,0,1,8795,191,6028,3,1809,1908,0,1,1,Pass
382,0,0,5978,369,1999,3,1385,902,0,1,0,Pass
1316,0,1,6798,198,9351,2,277,245,1,0,2,Pass
878,0,1,252,887,9282,2,1334,1458,1,0,1,Pass
1372,0,1,4845,183,1418,3,1741,1356,1,1,0,Pass
764,0,1,7129,349,6774,3,631,162,1,0,0,Pass
883,0,0,4859,604,7474,2,1448,1217,0,0,1,Pass
1807,0,0,8298,622,515,2,286,995,0,1,2,Pass
1873,1,1,7225,791,9427,0,171,869,1,2,1,Pass
1328,1,0,1284,549,8045,1,1046,562,1,1,1,Pass
352,0,0,9472,693,1308,1,1367,1238,1,0,2,Pass
57,0,0,758,936,5597,1,213,1505,1,2,0,Pass
1131,1,0,1844,252,6647,1,1334,693,1,0,2,Pass
823,0,0,5832,798,9531,2,1450,691,1,2,2,Pass
320,1,1,658,365,7445,3,412,1879,0,2,2,Pass
632,1,1,4237,858,918,2,591,316,0,1,0,Pass
479,1,0,8945,707,8148,3,1961,1346,1,0,0,Pass
110,0,0,7904,566,9960,1,1063,147,1,2,2,Pass
1721,0,0,9171,618,8347,1,1301,1932,1,0,0,Pass
1371,0,0,1449,281,1221,2,751,657,0,2,2,Pass
1411,0,1,5572,65,9723,0,1713,800,0,2,2,Pass
771,0,0,7975,794,8828,2,656,1183,0,2,2,Pass
1633,1,1,6632,65,3919,2,523,458,0,2,2,Pass
46,0,0,4502,507,3379,0,1225,892,1,2,0,Pass
1580,0,0,7711,749,9547,0,1576,598,0,1,1,Pass
1268,0,0,3866,151,9341,0,1768,181,0,0,0,Pass
1356,1,1,7443,721,240,1,1482,1030,0,1,1,Pass
239,1,0,8720,597,1463,3,497,1196,1,1,1,Pass
1679,0,1,327,763,1892,2,987,1289,1,0,1,Pass
77,1,0,9282,332,3653,1,659,50,1,2,0,Pass
1425,1,0,6793,726,7517,3,79,1813,1,1,0,Pass
1916,0,1,8866,53,9015,3,297,1342,0,0,2,Pass
738,0,0,7536,402,9253,2,1812,1326,1,2,1,Pass
93,0,0,7117,293,857,1,261,452,1,0,0,Pass
1829,0,1,8989,726,8069,3,1555,1933,0,1,2,Pass
1187,0,0,1992,89,1005,3,1509,239,1,1,0,Pass
988,1,1,7547,871,9358,1,591,843,1,1,2,Pass
1090,0,0,3077,328,4433,2,1921,1000,1,1,1,Pass
765,1,1,7905,734,6202,3,1892,1076,1,0,0,Pass
640,0,1,6813,413,3871,2,122,733,0,1,1,Pass
1056,1,1,3758,591,5245,1,1832,710,0,1,0,Pass
1063,1,0,53,67,9926,2,266,44,0,0,0,Pass
1327,1,1,7387,381,4617,3,1804,352,0,2,2,Pass
1266,0,0,7420,896,2564,1,1337,6,1,2,1,Pass
245,0,1,59,887,228,2,986,1299,1,1,0,Pass
1660,1,0,4411,580,2990,0,1029,1181,1,1,2,Pass
896,1,0,6013,727,4578,2,679,836,0,1,0,Pass
597,1,0,7778,887,4005,1,1815,311,0,1,1,Pass
1296,1,1,3015,646,6928,0,81,137,0,1,0,Pass
797,1,0,6032,262,433,1,1572,297,1,0,1,Pass
6,0,0,3322,482,1701,1,1041,248,0,1,0,Pass
1431,1,1,5562,887,2008,0,1640,685,1,0,2,Pass
1271,1,0,9604,873,7554,2,1160,557,1,1,1,Pass
568,1,0,4576,233,791,2,1563,30,1,1,0,Pass
695,1,1,4551,291,2882,2,228,689,0,0,1,Pass
999,0,0,6318,878,1541,0,142,87,0,2,1,Pass
1774,0,0,6757,692,201,1,1275,372,0,1,1,Pass
75,1,0,3592,658,5238,2,158,631,1,1,2,Pass
327,0,0,9959,385,2535,3,173,900,1,0,1,Pass
880,1,1,3051,82,4469,2,1470,993,1,2,0,Pass
701,1,0,8064,535,8277,2,1765,1907,1,2,1,Pass
1795,1,0,7698,965,855,3,1919,1493,0,2,1,Pass
861,1,1,4237,432,5477,1,1318,1814,0,2,2,Pass
897,1,0,5661,23,925,0,1643,216,1,1,1,Pass
1463,1,1,5430,342,5893,2,1985,706,0,2,2,Pass
141,0,0,4553,986,3201,2,1075,115,1,0,0,Pass
